ART_ID,CODE,CONTEXT,COUNTRY,CONDITION,ARTEFACT,SUB_CATEGORY,LONGITUDE,LATITUDE,RECOVERY_METHOD,CLASSIFICATION,BP_ASSOCIATION,TP_ASSOCIATION,ABS_DATE_METHOD,ABS_DATE_1,ABS_DATE_STD_1,ABS_DATE_ID_1,ABS_DATE_2,ABS_DATE_STD_2,ABS_DATE_ID_2,ABS_DATE_3,ABS_DATE_STD_3,ABS_DATE_ID_3,ABS_DATE_4,ABS_DATE_STD_4,ABS_DATE_ID_4,ABS_DATE_5,ABS_DATE_STD_5,ABS_DATE_ID_5,RELAT_DATE_METHOD,RELAT_DATE_CHRONO,RAW_MAT,DORS_BLADE_PROF,BLADE_DET,BLADE_CURV,DORSAL_PATTERN,BULB_MORPH,CONUS_FORM,BUTT_MORPH,BUTT_PREP_1,BUTT_PREP_2,CORE_MORPH,PLAT_REJUV,CORE_METHOD,CORE_DIRECTIONALITY,CORE_TABLET_REJUV,CORE_FLAKE_REJUV,CORE_FRONT_REJUV,CORE_DIST_REJUV,CORE_SIDE_REJUV,TANG_ORIENTATION,WEIGHT,LENGTH,WIDTH,ELONGATION,THICKNESS,PLAT_DEPTH,CORE_LENGTH,CORE_WIDTH,CORE_BREADTH,CORE_ELONGATION,TCSA,TCSP,BURINATION,REFERENCES
BIEN_1041,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,MDF,ID,EV,BI,BLF,NFO,BAB,B,NCU,,,,,,,,,,,6.8,54.1,26.21,2.064097673,7.42,2.13,,,,,,,,Richter (2001)
BIEN_1047,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,DI,UNI,NBOL,NFO,SB,FTS,DT,,,,,,,,,,,7.92,68.14,11.91,5.721242653,8.33,4.01,,,,,,,,Richter (2001)
BIEN_1375,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDOC,ID,ST,SAP,BLF,NFO,PUNB,FGTTS,NCU,,,,,,,,,,,5.71,70.33,16.38,4.293650794,4.55,3.33,,,,,,,,Richter (2001)
BIEN_1378,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Backed Point,Kent Point,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,2.89,49.28,14.97,3.291917168,2.54,,,,,,19.01,22.87,N,Richter (2001)
BIEN_1379,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDNC,HI,DI,CON,BF,NFO,LTB,FGTTS,DT,,,,,,,,,,,4.66,50.1,17.23,2.907719095,5.32,2.31,,,,,,,,Richter (2001)
BIEN_1381,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,THDNC,FE,ST,CON,BF,NFO,PUNB,FGTTS,DT,,,,,,,,,,,3.78,50.99,18.64,2.735515021,8.27,2.81,,,,,,,,Richter (2001)
BIEN_1418,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,THDNC,FE,ST,UNI,BLF,NFO,PUNB,FGTTS,NCU,,,,,,,,,,,1.92,37.05,13.57,2.730287399,2.7,4.54,,,,,,,,Richter (2001)
BIEN_1527,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Blade,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,TDNC,ID,DI,UNI,BF,NFO,SB,FTS,DT,,,,,,,,,,,4.75,54.2,15.06,3.598937583,5.43,3.46,,,,,,,,Richter (2001)
BIEN_1536,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Core,,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,OP,SS,FURO,CUNI,N,N,N,N,N,,21.08,,,,,,39.61,15.72,19.41,2.519720102,,,,Richter (2001)
BIEN_1565,BIEN,Bienenbüttel (FStNr. 15),Germany,Complete,Backed Point,Creswellian/Penknife Point,10.539,53.357,Excavation,Bienenbüttel,Y,N,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,1.89,43.76,11.66,3.753001715,1.84,,,,,,10.73,17.77,N,Richter (2001)
